degree,major,cgpa,skills,job_role
BBA,Marketing,8.15," Python, Linux, Pandas, Process Modeling, Requirements Gathering, SQL, Stakeholder Management, UML",Business Analyst
LLM,Law,6.64,"Compliance, Drafting, Legal Research, Negotiation",Legal Advisor
B.Des,Animation,8.58,"Content Strategy, Research, SEO, WordPress",Content Writer
B.Sc,Finance,9.58,"Communication, Excel, Financial Modeling, Python, Statistics",Financial Analyst
B.Tech,Civil,7.55,"CAD, Matlab, Mechanics, SolidWorks, Thermodynamics",Mechanical Engineer
Diploma,Graphic Design,6.56,"Content Strategy, Editing, SEO",Content Writer
B.Tech,Electronics,6.12,"Incident Response, Python, SIEM",Cybersecurity Analyst
B.Des,Graphic Design,6.7,"Figma, Prototyping, Usability Testing, Wireframing",Ux/Ui Designer
Diploma,Electronics,7.23,"Firewall, Incident Response, Network Security, Penetration Testing, Python, SIEM",Cybersecurity Analyst
B.Com,Marketing,8.62,"Campaign Management, Communication, SEO, Social Media",Marketing Executive
B.Sc,Finance,7.14,"AutoCAD, CNC, Excel, Lean Manufacturing, Matlab",Manufacturing Engineer
B.Tech,Finance,7.68,"CAD, Materials, Matlab, Mechanics",Mechanical Engineer
B.Com,Human Resources,5.8,"Accounting, Bloomberg, Excel, Linux, Power BI, SQL, Valuation",Financial Analyst
B.Tech,Mathematics,7.9,"Backup & Recovery, MySQL, PostgreSQL, SQL",Database Administrator
M.Pharm,Pharmacy,6.31,"Clinical Knowledge, Excel, Patient Counseling, Pharmacology, Regulatory Compliance",Pharmacist
Diploma,Information Technology,7.33,"Excel, Firewall, Network Security, Penetration Testing, Python",Cybersecurity Analyst
B.Tech,Civil,8.21,"C, C++, Electronics, Microcontrollers, Python",Embedded Systems Engineer
B.E.,Data Science,7.08,"Backup & Recovery, MySQL, NoSQL, Performance Tuning, PostgreSQL, SQL",Database Administrator
B.Sc,Data Science,6.17,"Backup & Recovery, MySQL, NoSQL, Performance Tuning, PostgreSQL",Database Administrator
B.Sc,Finance,8.84,"AutoCAD, CNC, Lean Manufacturing",Manufacturing Engineer
B.A. LL.B,Law,7.92,"Contract Law, Drafting, Negotiation, SQL",Legal Advisor
M.Sc,Data Science,7.44," Git, Deep Learning, Linux, Machine Learning, NLP, PyTorch, TensorFlow",AI Engineer
B.A.,English,6.13,"3D Modeling, C#, C++, Shader Programming, Unity, Unreal Engine",Game Developer
BBA,Marketing,7.37,"PPC, SEM, Social Media",Digital Marketing Specialist
B.Sc,Electronics,8.9,"CAD, Matlab, Mechanics, Thermodynamics",Mechanical Engineer
B.Tech,Computer Science,6.58," Linux, Deep Learning, Git, Machine Learning, Model Deployment, NLP, PyTorch, TensorFlow",AI Engineer
Diploma,Information Technology,7.2,"Firewall, Incident Response, Network Security, Penetration Testing, Python",Cybersecurity Analyst
BBA,Law,7.57,"Compliance, Contract Law, Docker, Legal Research, Negotiation",Legal Advisor
MBA,Business,7.56,"Materials, Matlab, Thermodynamics",Mechanical Engineer
M.Tech,Mechanical,9.03,"Accounting, Communication, Finance, Mechanics",Investment Banker
M.Tech,Civil,7.53," HTML,  Python,  REST APIs,  SQL, C++, Microcontrollers, Python, SQL",Software Engineer
B.Pharm,Pharmacy,5.29,"Drug Dispensing, Pharmacology, Regulatory Compliance",Pharmacist
B.Sc,Pharmacy,7.79,"Clinical Knowledge, Drug Dispensing, Patient Counseling, Pharmacology",Pharmacist
B.E.,Electrical,7.56,"ANSYS, CAD, Manufacturing, SolidWorks, Thermodynamics",Mechanical Engineer
B.Tech,Finance,8.25,"Campaign Management, Communication, Market Research, Social Media",Marketing Executive
B.Des,Game Design,6.55,"Editing, SEO, Teamwork, WordPress",Content Writer
B.Tech,Human Resources,8.77," Data Visualization,  SQL, Process Modeling, Requirements Gathering, Stakeholder Management, UML",Business Analyst
B.Tech,Networking,7.39,"Firewall, Incident Response, Network Security, Penetration Testing, Python, SIEM",Cybersecurity Analyst
B.Sc,Networking,8.14,"CSS, HTML, Node.js, React, Teamwork",Web Developer
B.E.,Networking,7.37,"Firewall, Incident Response, Network Security, Penetration Testing, Python, SIEM",Cybersecurity Analyst
B.Tech,Mathematics,7.73," Process Modeling,  UML, Data Visualization, Pandas, Power BI, Python, SQL, Tableau",Data Analyst
Pharmacy,Pharmacy,7.68,"Clinical Knowledge, Drug Dispensing, Patient Counseling, Pharmacology, Regulatory Compliance",Pharmacist
B.Tech,Business,7.98,"Communication, Excel, Finance, Valuation",Investment Banker
M.Com,Human Resources,6.12,"Employee Engagement, HR Policies, Labor Laws",Hr Manager
B.Sc,Graphic Design,7.15,"Figma, Sketch, Usability Testing",Ux/Ui Designer
M.Tech,Electronics,6.03,"Linux, Network Monitoring, Switching, TCP/IP",Network Administrator
B.Tech,Statistics,8.31,"Communication, Data Analysis, Experiment Design, LaTeX, Python, Research Methods, Statistics",Research Scientist
B.Tech,Production,8.74,"CAD, Manufacturing, SolidWorks",Mechanical Engineer
B.Com,Human Resources,7.31," Excel,  Pandas, Process Modeling, Requirements Gathering, SQL, Stakeholder Management, UML",Business Analyst
M.Tech,Civil,6.59,"Circuit Design, Embedded Systems, PCB Design, Teamwork",Electrical Engineer
M.Com,Human Resources,7.75,"Agile, Product Strategy, Roadmapping, Stakeholder Management",Product Manager
MBA,Finance,7.46,"Agile, Metrics, Product Strategy, Roadmapping, Stakeholder Management, User Stories",Product Manager
B.Com,Marketing,6.46,"Content Marketing, Google Analytics, PPC, SEM, Social Media",Digital Marketing Specialist
B.Tech,Networking,7.32,"Cisco, Linux, Network Monitoring, Routing, TCP/IP",Network Administrator
M.Tech,Business,6.37,"CNC, Excel, Lean Manufacturing, Matlab",Manufacturing Engineer
Diploma,Graphic Design,8.12,"Adobe Photoshop, Figma, InDesign, Teamwork, UI Design",Graphic Designer
B.Tech,Electrical,8.25,"CAD, Linux, MATLAB, SolidWorks, Thermodynamics",Mechanical Engineer
B.Des,English,5.52,"Content Strategy, Copywriting, Editing, SEO, WordPress",Content Writer
M.Tech,Information Technology,7.07,"MySQL, PostgreSQL, SQL",Database Administrator
M.Tech,Mechanical,6.84," Deep Learning,  HTML,  Model Deployment,  REST APIs, Algorithms, C++, Data Structures, Git, Java",Software Engineer
M.Des,Animation,8.42,"Excel, Figma, Illustrator, Typography",Graphic Designer
B.Com,Marketing,5.94,"Git, Lean, Process Improvement, Six Sigma, Supply Chain",Operations Manager
M.Des,Design,5.21,"Adobe Photoshop, Branding, Typography",Graphic Designer
B.Tech,Computer Science,6.18,"Backup & Recovery, Docker, MySQL, NoSQL, Performance Tuning, SQL",Database Administrator
B.E.,Electronics,8.01,"CSS, JavaScript, MongoDB, Node.js, REST APIs",Web Developer
M.Tech,Electronics,7.5,"Firewall, Incident Response, Linux, Network Security, Python, SIEM",Cybersecurity Analyst
B.Des,Animation,5.65,"Content Strategy, Copywriting, Editing, Linux, WordPress",Content Writer
M.Sc,Electronics,8.7," HTML,  Python, Algorithms, Data Structures, Java, Machine Learning, React, SQL",Software Engineer
B.Pharm,Pharmacy,6.46,"Clinical Knowledge, Drug Dispensing, Patient Counseling, Pharmacology",Pharmacist
B.Tech,Business,7.56,"Electronics, Microcontrollers, Python, RTOS, Verilog",Embedded Systems Engineer
B.A.,Business Administration,6.84,"Content Marketing, Google Analytics, PPC, SEM, SEO, Social Media",Digital Marketing Specialist
M.Tech,AI & ML,8.56,"Azure, CI/CD, GCP, Linux, Problem Solving, Terraform",Cloud Engineer
B.E.,Electrical,6.65,"Circuit Design, Embedded Systems, MATLAB, PCB Design, Power Systems",Electrical Engineer
LLB,Law,8.05,"Compliance, Drafting, Legal Research, Negotiation",Legal Advisor
B.Tech,Information Technology,7.33,"MySQL, NoSQL, Performance Tuning, PostgreSQL, Problem Solving, SQL",Database Administrator
B.Tech,Computer Science,6.94," SQL, Excel, Power BI, Python, Requirements Gathering, SQL, Statistics",Data Analyst
B.Com,Law,8.1,"Contract Law, Legal Research, Negotiation, SQL",Legal Advisor
B.E.,Computer Science,7.02,"HTML, JavaScript, Node.js, REST APIs, React",Web Developer
B.A.,Journalism,6.65,"Communication, Content Strategy, Editing, Research, WordPress",Content Writer
BBA,Mass Communication,8.37,"Content Marketing, SEM, SEO, Social Media",Digital Marketing Specialist
B.Sc,Computer Science,8.92,"CAD, Matlab, Mechanics, SolidWorks",Mechanical Engineer
M.Sc,Mechanical,9.63,"Accounting, Communication, Finance, Valuation",Investment Banker
B.Tech,Business Administration,8.19,"Docker, Employee Engagement, HR Policies, Labor Laws",Hr Manager
B.Tech,Civil,6.94,"AutoCAD, Project Management, STAAD.Pro, Structural Analysis, Surveying",Civil Engineer
B.Sc,Computer Science,6.94,"Backup & Recovery, MySQL, NoSQL, Performance Tuning, PostgreSQL",Database Administrator
B.Tech,Data Science,7.61,"AWS, Azure, CI/CD, GCP, Kubernetes",Cloud Engineer
MBA,Electronics,8.06,"C, Electronics, Microcontrollers, Python",Embedded Systems Engineer
B.Tech,Civil,7.51,"MATLAB, PCB Design, Power Systems",Electrical Engineer
B.Tech,Information Technology,7.25,"CSS, MongoDB, Node.js, Problem Solving, REST APIs",Web Developer
M.Des,Game Design,7.59,"C#, C++, Problem Solving, Shader Programming",Game Developer
M.Tech,Mechanical,6.19," JavaScript,  PyTorch,  React, Algorithms, C++, Financial Modeling, Git, Java, Linux, Model Deployment",Software Engineer
B.E.,Mechanical,6.77,"AutoCAD, Construction, Structural Analysis, Surveying",Civil Engineer
B.Tech,Mathematics,6.71,"Data Analysis, Experiment Design, Python, Statistics",Research Scientist
M.Com,Business Administration,7.43,"Agile, Metrics, Product Strategy, Roadmapping",Product Manager
M.Com,Human Resources,6.35,"Bloomberg, Financial Modeling, Power BI, SQL, Valuation",Financial Analyst
B.E.,Electronics,7.02,"Cisco, Linux, Routing",Network Administrator
B.Tech,Marketing,5.47,"Communication, SEO, Social Media",Marketing Executive
M.Tech,AI & ML,8.37,"Data Analysis, Experiment Design, LaTeX, Python, Research Methods, Statistics",Research Scientist
B.Tech,Business Administration,6.7,"Accounting, Excel, Financial Modeling, Power BI, SQL, Valuation",Financial Analyst
M.Tech,Civil,7.49," HTML,  Model Deployment, C++, Deep Learning, Java, Python, React, SQL",Software Engineer
MBA,Electronics,6.81,"Algorithms, Communication, Excel, Python, Statistics",Financial Analyst
B.Sc,Electronics,6.37,"CAD, Data Structures, Materials, SolidWorks",Mechanical Engineer
B.Sc,Data Science,7.29,"AWS, Docker, Kubernetes, Linux, Terraform",Cloud Engineer
Diploma,Computer Science,7.7,"HTML, MongoDB, Node.js, REST APIs",Web Developer
M.Des,Journalism,6.29,"3D Modeling, C#, C++, Game Design, SQL, Unreal Engine",Game Developer
Diploma,Networking,8.43,"Cisco, Excel, Linux, Network Monitoring, Routing, TCP/IP",Network Administrator
B.Tech,Electrical,7.98,"Circuit Design, Embedded Systems, Git, MATLAB, PCB Design, Power Systems",Electrical Engineer
M.Des,Graphic Design,7.2,"C++, Game Design, Shader Programming",Game Developer
BBA,Human Resources,6.76,"Campaign Management, Market Research, SEO, Social Media",Marketing Executive
BBA,Marketing,7.43,"Content Marketing, Google Analytics, PPC, SEM, SEO, Social Media, Teamwork",Digital Marketing Specialist
B.Sc,Game Design,6.97,"Content Strategy, Editing, Linux, Research",Content Writer
Diploma,Information Technology,9.28,"Cisco, Linux, Network Monitoring, Routing, Switching, TCP/IP",Network Administrator
M.Com,Business Administration,7.59," Python,  Tableau, Process Modeling, Requirements Gathering, SQL, Stakeholder Management, UML",Business Analyst
Ph.D,Computer Science,8.11,"AWS, CI/CD, Docker, GCP, Kubernetes, Terraform",Cloud Engineer
B.Com,Operations,7.91,"Agile, Excel, Roadmapping, Stakeholder Management",Product Manager
B.Sc,Information Technology,7.23,"Backup & Recovery, MySQL, Performance Tuning",Database Administrator
B.Com,Law,7.33,"Compliance, Contract Law, Drafting, Legal Research, Negotiation",Legal Advisor
MBA,Marketing,6.7,"Accounting, Bloomberg, Excel, Financial Modeling, Valuation",Financial Analyst
B.Tech,Marketing,7.19,"Market Research, SEO, Social Media",Marketing Executive
M.Tech,Production,6.73,"Circuit Design, Embedded Systems, MATLAB, PCB Design, Power Systems",Electrical Engineer
B.Com,Marketing,6.12,"Content Marketing, Google Analytics, PPC, SEM, SEO, Social Media",Digital Marketing Specialist
B.Tech,Mathematics,8.23,"Experiment Design, LaTeX, Python, Research Methods, Statistics",Research Scientist
M.Sc,Statistics,7.27,"Backup & Recovery, NoSQL, Performance Tuning, PostgreSQL",Database Administrator
MBA,Operations,6.91," Pandas,  SQL, Process Modeling, Requirements Gathering, SQL, UML",Business Analyst
B.Tech,Statistics,8.62," Algorithms,  C++, Deep Learning, Model Deployment, PyTorch, Python, TensorFlow",AI Engineer
Diploma,Computer Science,7,"Cisco, Linux, Network Monitoring, Routing, Switching",Network Administrator
M.Tech,Networking,6.78,"Cisco, Linux, Network Monitoring, Problem Solving, Routing, Switching, TCP/IP",Network Administrator
BBA,Finance,7.5,"Employee Engagement, HR Policies, Labor Laws, Recruitment",Hr Manager
B.Com,Business Administration,8.07,"Campaign Management, Communication, Market Research, SEO, Social Media",Marketing Executive
M.Tech,Structural,6.56,"ANSYS, CAD, Docker, MATLAB, Manufacturing, SolidWorks, Thermodynamics",Mechanical Engineer
B.A.,Game Design,7.65,"Adobe Photoshop, Branding, Excel, Figma, InDesign, Typography, UI Design",Graphic Designer
B.Sc,English,7.39,"3D Modeling, C#, C++, Game Design, Shader Programming, Unity",Game Developer
MBA,Human Resources,8.38,"Employee Engagement, Labor Laws, Performance Management, Problem Solving, Recruitment",Hr Manager
B.Sc,Civil,7.29,"Accounting, Excel, Finance, Valuation",Investment Banker
B.Sc,Finance,6.34,"CAD, Materials, Mechanics, Thermodynamics",Mechanical Engineer
Diploma,Design,7.66,"Adobe Photoshop, Branding, Illustrator, UI Design",Graphic Designer
B.Tech,AI & ML,7.89,"AWS, Azure, CI/CD, Docker, GCP, Git, Terraform",Cloud Engineer
M.Sc,Finance,6.42,"AutoCAD, CNC, Excel, Lean Manufacturing, Matlab",Manufacturing Engineer
M.Sc,Mechanical,8.23,"Accounting, Communication, Financial Modeling, Python, Statistics",Financial Analyst
M.Tech,Computer Science,9.49,"C, C++, Microcontrollers, Python, Verilog",Embedded Systems Engineer
B.Tech,Computer Science,8.94,"Accounting, Finance, M&A, Valuation",Investment Banker
M.Sc,Data Science,7.93,"Communication, Data Analysis, Experiment Design, LaTeX, Research Methods, Statistics",Research Scientist
B.Tech,Civil,7.31,"CAD, Manufacturing, SolidWorks, Thermodynamics",Mechanical Engineer
M.Tech,Information Technology,7.76,"Firewall, Git, Incident Response, Network Security, Python, SIEM",Cybersecurity Analyst
M.Sc,Business,8.35," Model Deployment,  Node.js,  REST APIs,  TensorFlow, C++, CNC, Git, Linux, Python, SQL",Software Engineer
M.Tech,Civil,6.56,"CAD, Materials, Matlab, Mechanics, SolidWorks",Mechanical Engineer
B.A. LL.B,Law,8.22,"Compliance, Contract Law, Drafting, Legal Research, Linux, Negotiation",Legal Advisor
MBA,Civil,8.15,"Accounting, Lean Manufacturing, M&A, Valuation",Investment Banker
M.Pharm,Pharmacy,6.66,"Clinical Knowledge, Drug Dispensing, Pharmacology, Regulatory Compliance, SQL",Pharmacist
B.A.,Journalism,7.19,"C++, Game Design, Unity, Unreal Engine",Game Developer
B.Sc,Game Design,7.46,"Adobe Photoshop, Figma, Illustrator, InDesign, Typography",Graphic Designer
M.Sc,Mechanical,7.36,"Accounting, Excel, Financial Modeling, SolidWorks, Statistics",Financial Analyst
M.Tech,Business,7.08,"Accounting, Communication, Excel, Valuation",Investment Banker
B.E.,AI & ML,7.73," Linux,  Python, Deep Learning, Machine Learning, Model Deployment, SQL",AI Engineer
M.Tech,Computer Science,6.17,"Firewall, Incident Response, Network Security, Penetration Testing, Problem Solving, Python, SIEM",Cybersecurity Analyst
M.Sc,Mechanical,7.89,"Accounting, Communication, Excel, Python",Financial Analyst
M.Sc,AI & ML,7.65," Requirements Gathering,  UML, Data Visualization, Pandas, Python, Statistics, Tableau",Data Analyst
Diploma,Design,7.11,"C#, C++, Shader Programming, Unity",Game Developer
B.Sc,Computer Science,7.7,"Accounting, Financial Modeling, Statistics",Financial Analyst
BBA,Finance,7.18,"Agile, Metrics, Roadmapping, User Stories",Product Manager
B.Tech,Finance,6.64,"AutoCAD, CNC, Excel, Lean Manufacturing, SolidWorks",Manufacturing Engineer
B.Com,Finance,7.04,"ERP, Operations Management, Problem Solving, Six Sigma, Supply Chain",Operations Manager
B.Tech,Finance,8.28,"Agile, Metrics, Roadmapping, Stakeholder Management, User Stories",Product Manager
BBA,Marketing,7.64,"Campaign Management, Communication, Market Research, SEO, Social Media",Marketing Executive
B.Tech,Networking,7.57,"Cisco, Network Monitoring, Routing, Switching",Network Administrator
M.Com,Business Administration,7.26,"Docker, Lean, Operations Management, Six Sigma, Supply Chain",Operations Manager
B.Des,Graphic Design,6.16,"3D Modeling, C#, C++, Shader Programming, Unreal Engine",Game Developer
M.Des,Animation,6.76,"3D Modeling, C#, Game Design, Problem Solving, Unity, Unreal Engine",Game Developer
B.E.,Data Science,6.39,"Data Analysis, Experiment Design, Research Methods, Statistics",Research Scientist
MBA,Business,8.85,"Communication, Excel, Statistics",Financial Analyst
B.Tech,Business,6.68,"AutoCAD, Excel, Lean Manufacturing, Matlab",Manufacturing Engineer
B.Tech,Business,7.48,"CAD, Materials, Matlab, SolidWorks, Thermodynamics",Mechanical Engineer
Diploma,Production,8.54,"MATLAB, Manufacturing, SolidWorks, Thermodynamics",Mechanical Engineer
B.Tech,Data Science,5.64,"AWS, CI/CD, Terraform",Cloud Engineer
M.Sc,Finance,7.37,"Accounting, Communication, Finance, M&A, Valuation",Investment Banker
B.E.,Networking,7.05,"Git, MongoDB, Node.js, REST APIs, React",Web Developer
Diploma,Electrical,7.02,"AutoCAD, Structural Analysis, Surveying",Civil Engineer
B.Tech,Structural,7.04,"CAD, MATLAB, Manufacturing, Problem Solving, Thermodynamics",Mechanical Engineer
B.Tech,Information Technology,7.45,"Firewall, Incident Response, Network Security, Penetration Testing, Python, SIEM",Cybersecurity Analyst
M.Des,English,6.63,"C#, C++, Unity",Game Developer
M.Sc,Mechanical,7.17," Docker,  JavaScript,  Machine Learning,  REST APIs, Algorithms, C++, Git, Linux, Python, SQL",Software Engineer
Diploma,Networking,8.89,"HTML, REST APIs, React",Web Developer
M.Tech,Computer Science,6.9,"CI/CD, GCP, Kubernetes, Linux, Terraform",Cloud Engineer
B.Tech,Computer Science,5.99,"Firewall, Network Security, Python",Cybersecurity Analyst
LLB,Law,7.49,"Compliance, Contract Law, Negotiation",Legal Advisor
B.Des,English,8.08,"Adobe Photoshop, Figma, Illustrator, InDesign, UI Design",Graphic Designer
B.Sc,Mathematics,6.63,"Backup & Recovery, MySQL, Performance Tuning, PostgreSQL, SQL",Database Administrator
M.Tech,Mechanical,6.6,"Circuit Design, Embedded Systems, MATLAB, PCB Design, Power Systems, Teamwork",Electrical Engineer
Pharmacy,Pharmacy,6.46,"Drug Dispensing, Pharmacology, Regulatory Compliance",Pharmacist
B.E.,Production,8.05,"Circuit Design, Docker, Embedded Systems, PCB Design, Power Systems",Electrical Engineer
Diploma,Computer Science,7.57,"Cisco, Network Monitoring, Switching",Network Administrator
MBA,Electronics,8.56,"Accounting, Excel, M&A, Valuation",Investment Banker
B.Com,Human Resources,7.4,"ERP, Lean, Operations Management, Process Improvement, Supply Chain",Operations Manager
B.Sc,Finance,7.93,"C, Electronics, Microcontrollers, Verilog",Embedded Systems Engineer
B.Sc,Game Design,6.58,"Adobe Photoshop, Branding, Docker, Figma",Graphic Designer
Diploma,Computer Science,6.47,"CSS, HTML, MongoDB, Node.js, REST APIs, React, Teamwork",Web Developer
B.Tech,Electrical,7.89,"ANSYS, MATLAB, Manufacturing, SolidWorks, Thermodynamics",Mechanical Engineer
M.Com,Marketing,6.58," Pandas,  Python, Process Modeling, Requirements Gathering, SQL, Stakeholder Management",Business Analyst
M.Com,Human Resources,8.22,"Employee Engagement, HR Policies, Labor Laws, Performance Management, Recruitment",Hr Manager
B.Tech,Production,6.57,"ANSYS, CAD, MATLAB, Manufacturing, SolidWorks, Thermodynamics",Mechanical Engineer
M.Sc,Finance,6.03,"C, Electronics, Python, Verilog",Embedded Systems Engineer
B.Tech,Information Technology,6.66," Stakeholder Management, Docker, Excel, Pandas, Process Modeling, Python",Data Analyst
M.Com,Human Resources,7.99,"Employee Engagement, HR Policies, Labor Laws, Recruitment, Teamwork",Hr Manager
B.Tech,Civil,8.18,"ANSYS, CAD, MATLAB, Manufacturing, SolidWorks, Thermodynamics",Mechanical Engineer
B.Tech,Production,7.51,"ANSYS, CAD, MATLAB, Manufacturing, SQL, SolidWorks, Thermodynamics",Mechanical Engineer
B.A.,Graphic Design,8.32,"Problem Solving, Prototyping, Sketch, Usability Testing, User Research",Ux/Ui Designer
MBA,Marketing,7.07,"ERP, Lean, Operations Management, Process Improvement, Six Sigma, Supply Chain",Operations Manager
B.Tech,Statistics,6.9," Process Modeling,  UML, Data Visualization, SQL, Tableau",Data Analyst
B.Tech,Civil,7.53,"Circuit Design, Embedded Systems, Git, MATLAB, PCB Design, Power Systems",Electrical Engineer
M.Tech,Computer Science,8.04,"Network Security, Penetration Testing, Python, SIEM",Cybersecurity Analyst
B.Sc,Computer Science,6.12,"CNC, Matlab, SolidWorks",Manufacturing Engineer
B.A.,Game Design,8.17,"Adobe Photoshop, Figma, Illustrator, Linux, UI Design",Graphic Designer
B.Des,Journalism,8.11,"Adobe Photoshop, Branding, Illustrator, Typography, UI Design",Graphic Designer
B.Tech,Civil,6.17,"Communication, Excel, M&A, Valuation",Investment Banker
B.Sc,Computer Science,6.49,"Docker, HTML, JavaScript, REST APIs, React",Web Developer
B.Sc,Animation,7.41,"Figma, Prototyping, Sketch, Usability Testing, User Research, Wireframing",Ux/Ui Designer
B.Tech,Computer Science,9.13,"CAD, Excel, Materials, Matlab, Mechanics, SolidWorks",Mechanical Engineer
B.Sc,Electronics,7.65,"CSS, Communication, HTML, JavaScript, Node.js",Web Developer
B.Tech,Mathematics,9.41,"AWS, CI/CD, Docker, Kubernetes, Terraform",Cloud Engineer
M.Tech,Structural,8.02,"AutoCAD, Construction, Project Management, STAAD.Pro, Structural Analysis, Surveying",Civil Engineer
B.Tech,Business Administration,8.78,"Employee Engagement, HR Policies, Labor Laws, Performance Management, Recruitment",Hr Manager
B.Tech,Data Science,6.29," Process Modeling, Data Visualization, Pandas, Power BI, Statistics, UML",Data Analyst
MBA,Operations,8.27,"Campaign Management, Communication, Market Research, SEO, Social Media",Marketing Executive
M.Sc,Computer Science,9.74,"C, Communication, RTOS, Verilog",Embedded Systems Engineer
B.Tech,Business Administration,6.9,"ERP, Git, Operations Management, Six Sigma",Operations Manager
Ph.D,Computer Science,8.12," Stakeholder Management,  UML, Python, Statistics, Tableau",Data Analyst
M.Tech,Mechanical,7.41,"Communication, Excel, Finance, M&A",Investment Banker
MBA,Civil,8.91,"Accounting, Excel, M&A, Statistics, Valuation",Investment Banker
B.Des,English,6.49,"Figma, Linux, Prototyping, Sketch, Usability Testing, User Research, Wireframing",Ux/Ui Designer
B.Tech,Electrical,8.11,"ANSYS, CAD, MATLAB, Manufacturing, SolidWorks, Thermodynamics",Mechanical Engineer
BBA,Human Resources,8.32," SQL, Process Modeling, SQL, Statistics, UML",Business Analyst
B.A. LL.B,Law,7.62,"Compliance, Contract Law, Drafting, Legal Research, Negotiation",Legal Advisor
Ph.D,Data Science,7.18,"Azure, Kubernetes, Linux, Terraform",Cloud Engineer
M.Com,Finance,6.85,"Accounting, Bloomberg, Financial Modeling, Power BI, SQL, Valuation",Financial Analyst
BBA,Human Resources,5.95,"ERP, Lean, Process Improvement, Six Sigma",Operations Manager
M.Tech,Information Technology,7.48,"Backup & Recovery, MySQL, NoSQL, Performance Tuning, PostgreSQL, SQL",Database Administrator
M.Pharm,Pharmacy,5.8,"Clinical Knowledge, Drug Dispensing, Linux, Patient Counseling, Pharmacology, Regulatory Compliance",Pharmacist
B.E.,Production,7.55,"Circuit Design, Embedded Systems, MATLAB, PCB Design, Power Systems",Electrical Engineer
B.Com,Operations,7.44,"ERP, Lean, Problem Solving, Six Sigma, Supply Chain",Operations Manager
B.Tech,Civil,6.84,"Circuit Design, Embedded Systems, PCB Design, Power Systems",Electrical Engineer
M.Com,Human Resources,8.51,"Lean, Operations Management, Process Improvement, Six Sigma, Supply Chain",Operations Manager
B.Tech,Mechanical,6.98,"CAD, MATLAB, Manufacturing, SolidWorks, Thermodynamics",Mechanical Engineer
MBA,Computer Science,7.29,"AutoCAD, CNC, Excel, Lean Manufacturing, Matlab",Manufacturing Engineer
B.Tech,Mechanical,6.68,"Circuit Design, Embedded Systems, MATLAB, PCB Design, Power Systems, SQL",Electrical Engineer
Diploma,Animation,7.41,"Copywriting, Editing, Problem Solving, Research, SEO, WordPress",Content Writer
M.Tech,Networking,7.98,"JavaScript, Node.js, REST APIs",Web Developer
B.Des,Animation,6.4,"3D Modeling, C#, C++, Game Design, Shader Programming, Unreal Engine",Game Developer
Diploma,Animation,7.49,"Figma, Prototyping, Sketch, Usability Testing, User Research, Wireframing",Ux/Ui Designer
M.Tech,Electrical,6.96,"Circuit Design, Embedded Systems, MATLAB, PCB Design",Electrical Engineer
B.Tech,Production,6.97,"ANSYS, CAD, MATLAB, Manufacturing, SolidWorks, Thermodynamics",Mechanical Engineer
B.Sc,Computer Science,7.88,"CSS, JavaScript, React",Web Developer
M.Tech,Electronics,7.4,"Communication, Excel, Finance, M&A, Python",Investment Banker
MBA,Civil,8.67,"Accounting, Python, Statistics",Financial Analyst
B.Com,Operations,6.07,"Employee Engagement, HR Policies, Labor Laws, Performance Management, Recruitment",Hr Manager
M.Tech,Information Technology,6.83,"MongoDB, REST APIs, React",Web Developer
Pharmacy,Pharmacy,7.78,"Drug Dispensing, Patient Counseling, Pharmacology, Regulatory Compliance",Pharmacist
M.Com,Operations,8.12,"Agile, Metrics, Product Strategy, Roadmapping, User Stories",Product Manager
B.Tech,Electrical,6.98,"Circuit Design, Embedded Systems, MATLAB, PCB Design, Power Systems",Electrical Engineer
B.Tech,Human Resources,6.88,"Campaign Management, Communication, Linux, Market Research, SEO, Social Media",Marketing Executive
MBA,Business Administration,6.7,"Employee Engagement, HR Policies, Labor Laws, Performance Management",Hr Manager
M.Pharm,Pharmacy,5.94,"Clinical Knowledge, Drug Dispensing, Patient Counseling, Regulatory Compliance",Pharmacist
B.Tech,Electrical,6.64,"AutoCAD, Construction, Excel, Project Management, STAAD.Pro, Structural Analysis, Surveying",Civil Engineer
MBA,Marketing,8.6,"Accounting, Excel, Financial Modeling, Power BI, Problem Solving, Valuation",Financial Analyst
B.Tech,AI & ML,5.97," C++,  SQL, Deep Learning, Machine Learning, Model Deployment, Python, TensorFlow",AI Engineer
M.Tech,Civil,9.15,"Communication, Excel, Financial Modeling",Financial Analyst
BBA,Marketing,5.99,"Campaign Management, Communication, Market Research",Marketing Executive
B.Tech,Production,8.66,"Project Management, STAAD.Pro, Surveying",Civil Engineer
M.Tech,Civil,7.21,"C, RTOS, Verilog",Embedded Systems Engineer
B.E.,Structural,7.05,"Circuit Design, Docker, Embedded Systems, MATLAB, Power Systems",Electrical Engineer
B.Sc,Statistics,8.02,"LaTeX, Python, Research Methods, Statistics",Research Scientist
M.Tech,Electronics,9.17,"C++, Python, Verilog",Embedded Systems Engineer
M.Tech,Business,7.25,"C, C++, Electronics, Microcontrollers, RTOS",Embedded Systems Engineer
Ph.D,Mathematics,8.31,"Backup & Recovery, MySQL, NoSQL, PostgreSQL",Database Administrator
B.Tech,Mechanical,8.88,"Embedded Systems, MATLAB, PCB Design",Electrical Engineer
